NH3-N,TN,TKN,TP,Orthophosphate,SST,WATER TEMP.,CONDUCTIVITY,pH,OD mg/L
0.0051977249031477995,0.394475953341451,0.004738287283495559,0.022274162207412955,0.03170498084291188,54.0,29.9,930.0,8.05,0.4633587786259542
0.001320094602843989,0.3395357303975496,0.0009262991798700284,0.021181647181490473,0.005603448275862071,30.0,33.1,1170.0,8.27,0.6152671755725191
0.006751610857837147,0.29310658841918774,0.018017563746795216,0.04144438680289647,0.0238984674329502,165.0,29.0,909.0,7.97,0.4183206106870229
0.0192936903492583,0.4210281121213181,0.01859563015227801,0.031816598136954616,0.021072796934865905,92.0,29.9,1018.0,8.14,0.44656488549618323
0.0049355952056242165,0.21627011845349736,0.025003113201003024,0.07790707579305922,0.030172413793103457,940.0,20.1,419.0,8.28,0.5557251908396946
0.007249893436012606,0.25930132682576434,0.01555439725596288,0.0442780976513829,0.013409961685823759,226.7,26.1,645.0,8.02,0.43511450381679395
0.0027629887036269537,0.5734477158865163,0.002344767347540673,0.022939913551334463,0.02083333333333334,70.0,28.5,1103.0,8.0,0.3893129770992366
0.0036131390739737096,0.37843789240011527,0.014091819603536523,0.025159084697739503,0.01939655172413794,86.0,29.1,1374.0,8.0,0.4122137404580153
0.004456181242612843,0.4221909295643874,0.020120889704094078,0.05093561109059801,0.024281609195402308,16.67,23.0,651.0,7.95,0.4442748091603054
0.005435011317626805,0.13766382177151223,0.00942317887491841,0.03628908152432477,0.027610632183908055,160.0,26.0,565.0,8.7,0.4183206106870229
0.0016979392118869913,0.2542833401752335,0.0012977474725497388,0.03273840769007671,0.030675287356321846,126.0,28.6,753.0,8.2,0.4183206106870229
0.0005974667880492473,0.43559002157803883,0.00021590432012008175,0.022803349173094158,0.01506226053639847,52.5,29.7,1122.0,8.1,0.47557251908396947
0.0072781609358266355,0.24064616070986547,0.028103777824146907,0.04679975889559022,0.018911637931034488,156.0,25.1,580.0,7.9,0.4145038167938931
0.0014705239878192342,0.1181181835194696,0.0371595246910502,0.06418218507443527,0.038218390804597706,125.0,22.7,457.0,8.1,0.4381679389312977
0.003918980669705954,0.17603654208358177,0.012738238809493364,0.02098362883304203,0.012336925287356325,72.86,28.2,664.0,8.1,0.4122137404580153
0.002690206385810046,0.2383669688916625,0.015206884162642723,0.024372985995493722,0.023991379310344833,40.0,27.5,1021.0,8.4,0.32290076335877865
0.002400494031826324,0.20114775884113198,0.00474980218056863,0.024593878877297422,0.01963122605363985,81.43,28.8,1028.0,8.0,0.3603053435114504
0.004679747174725974,0.2685306854641715,0.00422907810526826,0.09225162737794859,0.07592648467432951,72.22,29.1,978.0,8.3,0.39083969465648855
0.007108674013382784,0.09416894864754466,0.018833124904410106,0.03218020079401944,0.02350095785440614,64.0,25.1,497.0,8.3,0.432824427480916
0.005103263750887049,0.10812995304236793,0.00464542521032563,0.004601024608388843,0.006319444444444446,35.76,27.2,745.0,8.3,0.6648854961832061
0.00335403213332247,0.2862795502723464,0.0029258053393649104,0.019512147657502685,0.009762931034482761,51.0,30.1,1041.0,8.0,0.5099236641221374
0.007844054083732729,0.2965774012023532,0.020811551373295413,0.0605787632490919,0.02287356321839081,381.25,29.8,1025.0,8.2,0.3946564885496183
0.010916166908132989,0.3112966739777169,0.010359925038020055,0.04544743014006555,0.03821360153256705,92.0,26.1,838.0,8.1,0.5236641221374047
0.008179910710595827,0.1705580704416239,0.03787709314595252,0.02419459877641731,0.027183908045977017,108.57,27.8,547.0,8.3,0.5305343511450382
0.0012333556497805549,0.27812279208297247,0.0008410285811817422,0.01829843174589193,0.0251484674329502,17.0,27.8,995.0,8.0,0.2564885496183206
0.008823710693828972,0.3371262844577797,0.09315143138992515,0.1376335066164588,0.040814176245210734,630.0,26.6,622.0,8.3,0.40839694656488545
0.03121145247010009,0.3215630986638531,0.030311643260316812,0.034334503860760326,0.033019636015325676,140.0,23.7,648.0,8.0,0.3916030534351145
0.018139351453343867,0.34318512037446713,0.017460832402623205,0.09225657783665979,0.043733237547892725,74.0,27.7,853.0,7.5,0.38549618320610685
0.6154167685075964,0.7858069613029441,0.7855852803956369,0.5757525166681092,0.6376676245210728,82.5,24.6,1289.0,7.44,0.0
0.6294182728014461,0.7059207066662095,0.7037784370365893,0.7790798053206507,0.7917624521072798,60.0,28.8,792.0,7.51,0.0
0.8468583991904679,0.9038364132638337,0.9035340426324207,0.7043620198759211,0.4582136015325672,91.6667,32.3,1004.0,7.46,0.0
0.43175122710940605,0.6003340976440321,0.6002488332112662,0.707417647839048,0.7365900383141764,68.33,33.6,1148.0,7.33,0.0
0.666012523187261,0.7035997137658715,0.7028196361311098,0.8936573186642707,0.5284003831417625,355.0,31.9,1045.0,7.47,0.0
0.6974539177172517,0.6889867424653433,0.6852756689574812,0.7824085620402582,0.8630268199233718,70.0,32.1,1261.0,7.6,0.0
0.6772864617095815,0.6656607638169462,0.6654496163357015,0.7288070435809366,0.6752873563218392,110.0,32.5,1136.0,7.5,0.0
0.6090152542953257,0.8249180126665402,0.8008773422948948,0.8349517065682175,0.4991618773946362,180.0,24.0,847.0,7.26,0.20381679389312973
0.3861152024597684,0.694271504039839,0.6945781271372786,0.8526197230030576,0.6322492816091955,120.0,27.5,851.0,8.2,0.0
0.5463166408669644,0.767445052640003,0.7670128657616515,0.8856000203480924,0.6614463601532568,95.0,29.2,923.0,7.5,0.0
